File Name	File Extension	File Size (KB)	Creation Date	File Path
gülsüm.multimediayı	.opus	5.02	2024-12-20 13:52:05	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.multimediayı.opus
gülsüm.odayı	.opus	4.33	2024-12-20 13:53:14	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.odayı.opus
gülsüm.parlaklığı	.opus	4.2	2024-12-20 13:52:46	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.parlaklığı.opus
gülsüm.sıcaklığı	.opus	4.61	2024-12-20 13:54:19	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.sıcaklığı.opus
gülsüm.ısıtmayı	.opus	4.32	2024-12-20 13:53:58	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.ısıtmayı.opus
gülsüm.ışığı	.opus	4.32	2024-12-20 13:51:29	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.ışığı.opus
sami.Air Conditioning	.opus	4.14	2024-12-19 19:09:27	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.Air Conditioning.opus
sami.brightness	.opus	3.55	2024-12-19 19:09:06	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.brightness.opus
sami.heating	.opus	4.5	2024-12-19 19:09:56	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.heating.opus
sami.light	.opus	3.05	2024-12-19 19:08:14	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.light.opus
sami.multimedia	.opus	3.49	2024-12-19 19:08:26	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.multimedia.opus
sami.temperatures	.opus	3.69	2024-12-19 19:10:03	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.temperatures.opus
sami.the alarm	.opus	3.64	2024-12-19 19:08:19	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the alarm.opus
sami.the fan	.opus	4.02	2024-12-19 19:09:51	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the fan.opus
sami.the lighting	.opus	3.3	2024-12-19 19:08:48	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the lighting.opus
sami.the room	.opus	2.79	2024-12-19 19:09:41	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the room.opus
sami.alarmı	.opus	3.76	2024-12-19 19:04:50	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.alarmı.opus
sami.aydınlatmayı	.opus	3.85	2024-12-19 19:05:07	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.aydınlatmayı.opus
sami.Fanı	.opus	2.79	2024-12-19 19:05:49	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.Fanı.opus
sami.iklimlendirmeyi	.opus	4.41	2024-12-19 19:05:37	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.iklimlendirmeyi.opus
sami.multimedyayı	.opus	3.66	2024-12-19 19:04:59	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.multimedyayı.opus
sami.odayı	.opus	2.64	2024-12-19 19:05:43	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.odayı.opus
sami.parlaklığı	.opus	3.34	2024-12-19 19:05:26	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.parlaklığı.opus
sami.sıcaklığı	.opus	3.65	2024-12-19 19:06:03	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.sıcaklığı.opus
sami.ısıtmayı	.opus	3.71	2024-12-19 19:05:55	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.ısıtmayı.opus
